Time: 2.42   Humidity: 57.80 %, Temp: 72.05 F  100.13 pa
Time: 5.84   Humidity: 57.30 %, Temp: 72.05 F  100.13 pa
Time: 9.25   Humidity: 57.00 %, Temp: 72.05 F  100.13 pa
Time: 12.67   Humidity: 57.20 %, Temp: 72.05 F  100.13 pa
Time: 16.08   Humidity: 56.80 %, Temp: 72.05 F  100.13 pa
Time: 19.50   Humidity: 56.70 %, Temp: 72.05 F  100.13 pa
Time: 22.91   Humidity: 56.70 %, Temp: 72.16 F  100.17 pa
Time: 26.33   Humidity: 58.10 %, Temp: 72.16 F  100.14 pa
Time: 29.74   Humidity: 58.60 %, Temp: 72.16 F  100.14 pa
Time: 33.16   Humidity: 58.40 %, Temp: 72.16 F  100.14 pa
Time: 36.57   Humidity: 59.20 %, Temp: 72.16 F  100.13 pa
Time: 39.99   Humidity: 58.70 %, Temp: 72.05 F  100.13 pa
Time: 43.40   Humidity: 57.80 %, Temp: 71.94 F  100.12 pa
Time: 46.82   Humidity: 57.30 %, Temp: 71.82 F  100.12 pa
Time: 50.23   Humidity: 56.50 %, Temp: 71.82 F  100.12 pa
Time: 53.65   Humidity: 56.30 %, Temp: 71.71 F  100.12 pa
Time: 57.06   Humidity: 55.90 %, Temp: 71.71 F  100.12 pa
Time: 60.48   Humidity: 55.60 %, Temp: 71.71 F  100.12 pa
Time: 63.89   Humidity: 55.40 %, Temp: 71.71 F  100.12 pa
Time: 67.31   Humidity: 55.50 %, Temp: 71.71 F  100.12 pa
Time: 70.72   Humidity: 56.10 %, Temp: 71.71 F  100.12 pa
Time: 74.14   Humidity: 56.40 %, Temp: 71.71 F  100.12 pa
Time: 77.55   Humidity: 56.10 %, Temp: 71.71 F  100.12 pa
Time: 80.97   Humidity: 56.10 %, Temp: 71.71 F  100.12 pa
Time: 84.38   Humidity: 55.60 %, Temp: 71.71 F  100.12 pa
Time: 87.80   Humidity: 55.40 %, Temp: 71.71 F  100.13 pa
Time: 91.21   Humidity: 56.00 %, Temp: 71.71 F  100.12 pa
Time: 94.63   Humidity: 56.90 %, Temp: 71.71 F  100.13 pa
Time: 98.04   Humidity: 56.50 %, Temp: 71.60 F  100.12 pa
Time: 101.46   Humidity: 56.40 %, Temp: 71.71 F  100.13 pa
Time: 104.87   Humidity: 56.70 %, Temp: 71.60 F  100.12 pa
Time: 108.29   Humidity: 56.50 %, Temp: 71.71 F  100.12 pa
Time: 111.70   Humidity: 56.40 %, Temp: 71.71 F  100.12 pa
Time: 115.12   Humidity: 56.70 %, Temp: 71.71 F  100.13 pa
Time: 118.53   Humidity: 56.50 %, Temp: 71.71 F  100.12 pa
Time: 121.95   Humidity: 56.50 %, Temp: 71.71 F  100.12 pa
Time: 125.36   Humidity: 56.50 %, Temp: 71.82 F  100.13 pa
Time: 128.78   Humidity: 56.50 %, Temp: 71.82 F  100.13 pa
Time: 132.19   Humidity: 56.50 %, Temp: 71.82 F  100.13 pa
Time: 135.61   Humidity: 56.40 %, Temp: 71.82 F  100.12 pa
Time: 139.02   Humidity: 56.20 %, Temp: 71.82 F  100.12 pa
Time: 142.44   Humidity: 56.00 %, Temp: 71.82 F  100.12 pa
Time: 145.85   Humidity: 55.80 %, Temp: 71.82 F  100.13 pa
Time: 149.27   Humidity: 56.10 %, Temp: 71.94 F  100.13 pa
Time: 152.68   Humidity: 57.30 %, Temp: 71.94 F  100.13 pa
